356	1
749	5
357	8
3	9
358	10
753	13
758	23
10	30
11	29
1108	32
14	34
16	44
1111	46
373	50
763	51
19	54
1114	55
377	60
766	61
378	62
380	66
23	68
24	71
25	74
772	70
388	77
390	78
777	80
28	84
780	88
29	89
1125	91
1124	92
782	95
395	97
1126	103
784	104
786	109
402	110
403	112
1133	113
36	114
1136	116
406	117
791	121
792	122
793	124
411	125
410	129
43	127
413	131
46	138
796	146
798	148
800	151
418	155
55	156
56	161
1149	170
58	172
805	173
428	176
429	177
1152	178
431	179
62	180
1153	181
433	182
809	189
437	191
813	192
814	195
439	198
444	210
445	213
448	217
822	230
72	229
823	231
74	232
462	236
1166	237
464	238
466	242
828	244
1169	247
1170	248
470	249
469	250
474	262
1178	268
478	270
1179	271
1182	274
89	275
481	276
92	280
844	284
485	285
845	287
486	291
1188	294
98	296
101	300
488	301
849	306
850	313
103	317
104	318
1198	319
1196	320
495	321
497	323
499	327
110	329
852	330
853	331
112	334
503	335
114	338
858	339
508	345
1206	350
512	359
864	360
125	365
867	367
514	370
129	372
1213	376
517	380
1215	382
873	383
1223	390
1226	397
1227	400
138	402
525	408
883	409
143	418
144	421
145	420
1233	422
887	427
147	430
527	438
891	441
892	440
1237	445
532	449
533	452
1238	454
536	457
537	458
539	461
538	462
902	465
1248	468
904	469
903	470
1249	471
547	473
1250	474
548	476
905	477
1252	480
549	479
161	484
551	481
906	482
908	488
163	489
556	490
165	495
911	496
559	498
1261	500
168	503
561	504
562	506
913	510
917	518
918	519
919	520
171	522
172	523
1266	532
922	533
174	536
577	543
177	542
578	544
184	552
926	554
186	558
584	561
187	563
929	572
195	573
196	577
930	578
933	581
934	584
935	588
201	590
1284	591
204	597
596	600
207	603
1289	604
598	607
1291	610
600	616
1292	618
946	625
949	630
603	634
605	639
1296	640
952	646
1299	647
955	650
223	656
612	669
960	670
615	672
614	673
616	674
963	675
618	679
232	683
968	684
234	693
627	701
1311	706
980	707
981	708
630	709
1314	710
1315	711
631	713
1318	717
1319	718
1320	719
241	720
634	722
635	723
1322	726
1325	728
246	732
641	731
988	733
992	738
993	742
250	746
995	749
650	750
1336	756
999	760
656	769
1346	773
1347	774
1004	779
662	784
664	786
665	787
264	789
268	797
1013	799
270	804
667	805
1358	808
1017	813
272	814
1022	819
1021	820
1364	822
1369	823
675	824
275	826
279	832
678	833
283	835
285	837
287	838
289	839
1032	840
292	843
1037	844
1374	848
1042	849
1375	851
293	852
1377	855
1048	860
1053	869
1052	871
1381	874
1054	876
1055	877
1388	883
303	885
700	886
702	888
1058	892
706	893
1067	904
1069	912
320	919
321	918
1071	920
1072	928
1075	927
323	929
1076	931
1396	930
324	937
717	936
326	942
1397	943
328	944
1400	953
727	960
731	968
1084	969
1087	979
1408	980
1409	981
348	984
1088	986
1411	988
1412	990
741	991
1413	992
1092	993
352	999
1093	1000
746	1003
1420	1009
1097	1010
1098	1014
132	645
640	1002
835	694
1156	576
868	916
1296	640
185	79
1372	108
220	687
776	369
1055	877
23	68
773	463
1420	1009
766	61
928	762
878	393
1210	314
1046	478
1145	509
973	282
311	283
1342	388
559	498
453	286
1402	615
911	496
1180	875
886	101
870	106
257	188
698	309
1150	12
4	854
1278	973
774	1012
531	624
873	383
272	814
1406	308
1104	725
1377	855
547	473
959	858
1235	220
1401	736
